cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__rest_encoder__sigma,param_transformer__cat__rest_encoder__a,param_transformer__cat__combiner__rare_to_value,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision_weighted,holdout_rank_f1_weighted
45,0.9415166994371328,No,0.9450757299494108,0.945704790095323,9.288891458511353,0.9416149622456004,if_binary,1,0.15,1,0.003,0.8200000000000001,2200,0.01125,47,sqrt,2,log_loss,0.002,friedman_mse,47,1
49,0.9410384241108005,No,0.944320691851541,0.944457467805714,8.774055767059327,0.9411734148762949,if_binary,1,0.15,1,0.0035,0.5,2200,0.0125,40,sqrt,2,log_loss,0.002,friedman_mse,48,2
22,0.943316706943661,Yes,0.960086793440569,0.9541458425274509,15.910476207733154,0.9431360609169737,if_binary,1,0.15,1.4,0.002,0.5,3400,0.01375,45,sqrt,5,log_loss,0.004,friedman_mse,25,3
1,0.9453155717215569,Yes,0.9549225253052255,0.9523146417358924,16.420325326919556,0.944964673647975,if_binary,1,0.05,1.4,0,0.74,3200,0.01125,40,sqrt,4,log_loss,0.002,friedman_mse,2,4
29,0.9426062370026367,Yes,0.953547413844615,0.9521181386830236,12.222254180908203,0.9423812857485434,if_binary,1,0.1,1.4,0,0.58,2600,0.01,40,sqrt,4,log_loss,0.002,friedman_mse,37,5
25,0.9430850255102861,Yes,0.9574827317826418,0.9519886586117189,13.793396520614625,0.9431566009271378,if_binary,1,0.1,1.4,0.003,0.5,2900,0.0125,47,sqrt,4,log_loss,0.004,friedman_mse,24,6
26,0.9430427713135007,Yes,0.9548552821636809,0.9517932846801619,16.53560061454773,0.9426518921730711,if_binary,1,0.1,1.3,0.0025,0.74,3500,0.01125,37,sqrt,3,log_loss,0.004,friedman_mse,36,7
7,0.9442832076582631,Yes,0.9543099724272952,0.9516208019190643,14.88653917312622,0.9445597975865461,if_binary,1,0.15,1,0.0035,0.66,2900,0.01375,47,sqrt,4,log_loss,0.003,friedman_mse,4,8
11,0.9439184750773005,Yes,0.9553503678937512,0.9513703772158111,12.263135623931884,0.9434946101938122,if_binary,1,0.05,1,0,0.66,2300,0.015,40,sqrt,4,log_loss,0.003,friedman_mse,19,9
24,0.9430998224547464,Yes,0.9573720608583887,0.9513384451311725,16.87337827682495,0.942707769382037,if_binary,1,0.1,1.4,0.0025,0.8200000000000001,2300,0.0125,47,sqrt,5,log_loss,0.003,friedman_mse,33,10
16,0.9436755219853632,Yes,0.9540373287375982,0.9511699830133805,13.90524501800537,0.9437739325615417,if_binary,1,0.1,1,0.003,0.58,3300,0.01375,47,sqrt,3,log_loss,0.004,friedman_mse,14,11
5,0.9444548637810712,Yes,0.9560362745976813,0.9510141737327045,18.92828893661499,0.9444863897149343,if_binary,1,0.1,1.3,0.0035,0.9,2700,0.01125,45,sqrt,5,log_loss,0.002,friedman_mse,5,12
9,0.9441122376016804,Yes,0.9545402659224874,0.9509186670127576,16.703232860565187,0.9441243426094943,if_binary,1,0.1,1.3,0.0035,0.8200000000000001,3400,0.0125,43,sqrt,3,log_loss,0.004,friedman_mse,10,13
2,0.9452423414854032,Yes,0.956261629063359,0.950822176563632,17.201166820526122,0.9453847413816385,if_binary,1,0.1,1.2,0.0035,0.74,2600,0.015,40,sqrt,5,log_loss,0.002,friedman_mse,1,14
13,0.9438024752175362,Yes,0.9541389838592936,0.9507844224520422,14.320321464538575,0.9435398837093567,if_binary,1,0.1,1.4,0.0025,0.9,2800,0.01,47,sqrt,3,log_loss,0.004,friedman_mse,18,15
14,0.9437522887442583,Yes,0.9556988823674809,0.9506904327252003,16.043724536895752,0.943704361107736,if_binary,1,0.05,1.4,0.0035,0.9,2700,0.01,45,sqrt,4,log_loss,0.003,friedman_mse,16,16
21,0.94338918166561,Yes,0.9561360796258576,0.9504026459990795,15.077098512649536,0.9434224086885032,if_binary,1,0.05,1,0.003,0.66,2700,0.01375,40,sqrt,4,log_loss,0.003,friedman_mse,20,17
4,0.9446402745478213,Yes,0.9579388065077524,0.9503047351148617,14.982106399536132,0.9443879486425996,if_binary,1,0.15,1.2,0,0.8200000000000001,2400,0.01,40,sqrt,4,log_loss,0.004,friedman_mse,6,18
48,0.9413382896779898,Yes,0.958488534885361,0.9502058112666913,16.48241558074951,0.9410820728961802,if_binary,1,0.05,1.3,0.003,0.5,3400,0.01375,45,sqrt,4,log_loss,0.004,friedman_mse,49,19
3,0.9447773808980251,Yes,0.9574235456991387,0.9501058609102175,15.125908756256104,0.9443402933599258,if_binary,1,0.15,1,0,0.58,2900,0.01125,45,sqrt,5,log_loss,0.003,friedman_mse,7,20
20,0.943401063463204,Yes,0.9570531721209707,0.949885456117225,16.449376344680786,0.9433253518617187,if_binary,1,0.05,1,0.003,0.66,3200,0.01125,47,sqrt,4,log_loss,0.003,friedman_mse,21,21
39,0.9419335773659624,Yes,0.9582303550771356,0.949885456117225,13.442337703704833,0.9417781444786903,if_binary,1,0.05,1.3,0.003,0.58,2900,0.01,43,sqrt,4,log_loss,0.004,friedman_mse,46,22
6,0.9443457546450688,Yes,0.953547413844615,0.9497861119789819,13.683442687988281,0.944231368188962,if_binary,1,0.15,1.2,0,0.9,2500,0.0125,45,sqrt,3,log_loss,0.004,friedman_mse,9,23
18,0.9435521585624127,Yes,0.9531663970548855,0.9496857385152373,14.277877044677734,0.9432038253851264,if_binary,1,0.1,1,0,0.8200000000000001,3000,0.01125,43,sqrt,3,log_loss,0.003,friedman_mse,22,24
31,0.9424625678138968,Yes,0.9537048449102699,0.949565586604039,9.360897397994995,0.9426683711823142,if_binary,1,0.1,1.3,0.003,0.66,2200,0.015,43,sqrt,3,log_loss,0.004,friedman_mse,34,25
27,0.9429737604688835,Yes,0.952915405869712,0.9493783029466338,14.267921829223633,0.9428840976527996,if_binary,1,0.1,1,0.0025,0.9,2200,0.0125,40,sqrt,4,log_loss,0.002,friedman_mse,28,26
10,0.944042966160292,Yes,0.9529852521685239,0.9488475346327946,12.566002988815308,0.9442993555978735,if_binary,1,0.1,1.3,0.003,0.58,2700,0.0125,43,sqrt,3,log_loss,0.003,friedman_mse,8,27
8,0.9442564275713737,Yes,0.9531238328371633,0.948829694337472,15.506016254425049,0.9447226029435234,if_binary,1,0.15,1,0.003,0.9,3500,0.015,45,sqrt,3,log_loss,0.002,friedman_mse,3,28
23,0.9431006435612096,Yes,0.9506206116458911,0.948829694337472,13.62586169242859,0.9439512899231897,if_binary,1,0.15,1.4,0.0035,0.9,3500,0.0125,40,sqrt,2,log_loss,0.004,friedman_mse,12,29
12,0.9438330948349419,Yes,0.9590043954667682,0.9485310477348939,16.568583536148072,0.9437269246235165,if_binary,1,0.05,1,0.003,0.8200000000000001,2400,0.01375,45,sqrt,5,log_loss,0.003,friedman_mse,15,30
15,0.9437273488309399,Yes,0.9515024542175551,0.9485310477348939,12.928721284866333,0.9439665944138392,if_binary,1,0.05,1,0.002,0.8200000000000001,3500,0.0125,47,sqrt,2,log_loss,0.004,friedman_mse,11,31
19,0.943456725854159,Yes,0.9540531554975626,0.9479089572866074,10.760924577713013,0.9435830948153153,if_binary,1,0.05,1,0,0.9,2100,0.0125,37,sqrt,3,log_loss,0.003,friedman_mse,17,32
42,0.9417456894310551,Yes,0.9514071446779063,0.9477972322987672,11.891738128662109,0.9419405906164695,if_binary,1,0.1,1.3,0,0.8200000000000001,2400,0.01375,47,sqrt,3,log_loss,0.002,friedman_mse,43,33
33,0.9423787173354097,Yes,0.9525309933708472,0.9475933191354857,13.236972999572753,0.9426553617557089,if_binary,1,0.05,1.2,0,0.8200000000000001,2600,0.01,40,sqrt,3,log_loss,0.002,friedman_mse,35,34
37,0.9419948444803161,Yes,0.9507281991618801,0.9472819203028153,12.14395980834961,0.9427461922980827,if_binary,1,0.1,1,0.003,0.8200000000000001,2900,0.015,37,sqrt,2,log_loss,0.004,friedman_mse,31,35
41,0.9418181947466946,Yes,0.9508470444194674,0.9472676755763062,12.11489748954773,0.9419646068570963,if_binary,1,0.1,1.4,0,0.66,2300,0.0125,37,sqrt,3,log_loss,0.002,friedman_mse,42,36
38,0.9419519853302625,Yes,0.9508793218928258,0.9471791368803962,9.848301792144776,0.9420599058153462,if_binary,1,0.15,1.4,0,0.58,2400,0.01,45,sqrt,2,log_loss,0.004,friedman_mse,41,37
36,0.9421802496834886,Yes,0.9508358437060778,0.9464523961766224,12.268839120864868,0.9427998501778359,if_binary,1,0.1,1,0.003,0.74,2900,0.01125,45,sqrt,2,log_loss,0.004,friedman_mse,30,38
28,0.9428055048925545,Yes,0.9475183147287058,0.946244254347306,10.75236005783081,0.9431903253232627,if_binary,1,0.15,1.4,0.002,0.66,2800,0.0125,43,sqrt,2,log_loss,0.003,friedman_mse,23,39
17,0.9436059122119502,Yes,0.9496383785848209,0.9456165025785279,10.78901720046997,0.9438924958351412,if_binary,1,0.05,1.2,0.003,0.58,2100,0.0125,40,sqrt,3,log_loss,0.002,friedman_mse,13,40
30,0.9425841394610799,Yes,0.950856922503137,0.9455082462918507,11.075939178466797,0.942973764426322,if_binary,1,0.05,1.2,0,0.8200000000000001,3100,0.0125,37,sqrt,2,log_loss,0.003,friedman_mse,27,41
34,0.9423641131462093,Yes,0.9485188157220832,0.9454157935878708,13.435932779312134,0.9428398491596255,if_binary,1,0.1,1.3,0.0025,0.9,3000,0.01375,43,sqrt,2,log_loss,0.003,friedman_mse,29,42
43,0.9417145616089891,Yes,0.948757238500453,0.944265133438783,10.132567167282104,0.9422644646405937,if_binary,1,0.1,1.3,0.0035,0.58,2800,0.01125,45,sqrt,2,log_loss,0.003,friedman_mse,38,43
44,0.9416652175260947,Yes,0.9494433712232975,0.9440703568139592,10.282522535324096,0.9422013606331638,if_binary,1,0.1,1.2,0.0035,0.74,2300,0.015,45,sqrt,2,log_loss,0.004,friedman_mse,40,44
50,0.9400771575840631,Yes,0.9448729136594431,0.9440430176010584,9.204910469055175,0.9401502599081002,if_binary,1,0.05,1,0.0035,0.58,2200,0.015,45,sqrt,2,log_loss,0.002,friedman_mse,50,45
35,0.9422234386094782,Yes,0.9469620642894716,0.9438731920066372,11.832457113265992,0.9427111699657328,if_binary,1,0.15,1.4,0.0025,0.5,3500,0.0125,45,sqrt,2,log_loss,0.002,friedman_mse,32,46
