cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__rest_encoder__sigma,param_transformer__cat__rest_encoder__a,param_transformer__cat__combiner__rare_to_value,param_over__sampling_strategy,param_over__k_neighbors,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision_weighted,holdout_rank_f1_weighted
32,0.9325245966423041,No,0.9338442714490982,0.9348296929644833,8.850067377090454,0.9466866524100208,if_binary,1,0.1,1.3,0.0035,0.5,156,0.66,2500,0.0125,40,sqrt,3,log_loss,0.003,friedman_mse,23,1
30,0.9325657282338786,No,0.9325577305113403,0.933897635289162,7.539551210403443,0.9468019669178883,if_binary,1,0.1,1.2,0.0035,0.475,264,0.5,3300,0.01375,40,sqrt,2,log_loss,0.003,friedman_mse,17,2
42,0.9313769683763787,No,0.9299237511734008,0.931283446536997,5.544604778289795,0.9466298588256947,if_binary,1,0.05,1.3,0.0035,0.42500000000000004,296,0.74,2000,0.01375,43,sqrt,2,log_loss,0.003,friedman_mse,24,3
1,0.9388026567593896,Yes,0.9493891386637435,0.9394126577625369,13.59386396408081,0.9471695534740636,if_binary,1,0.05,1.4,0,0.45,225,0.74,3000,0.01,43,sqrt,5,log_loss,0.004,friedman_mse,9,4
2,0.937907218652037,Yes,0.9435717982802656,0.9389390986924137,10.748785161972046,0.9471525652872204,if_binary,1,0.05,1.2,0,0.5,186,0.5,3200,0.015,45,sqrt,4,log_loss,0.003,friedman_mse,10,5
9,0.935405994305715,Yes,0.9454115308211438,0.9387095673032317,15.230899810791016,0.9461933347730591,if_binary,1,0.05,1.2,0.003,0.475,205,0.9,3000,0.015,47,sqrt,4,log_loss,0.004,friedman_mse,38,6
3,0.9378933302094323,Yes,0.9460642506434532,0.9378463217722914,12.411945486068726,0.9474442217391481,if_binary,1,0.1,1.4,0,0.42500000000000004,226,0.58,3500,0.015,40,sqrt,5,log_loss,0.003,friedman_mse,6,7
6,0.9363774360018567,Yes,0.9435124437831066,0.9370654380276813,10.908416748046875,0.9465574742485707,if_binary,1,0.1,1.2,0.0035,0.475,282,0.5,3200,0.015,45,sqrt,4,log_loss,0.004,friedman_mse,27,8
15,0.9348558114423229,Yes,0.9441081581309201,0.9369186909207572,12.145303964614868,0.9458579329056646,if_binary,1,0.1,1.3,0.0035,0.45,147,0.5,3300,0.01125,40,sqrt,5,log_loss,0.004,friedman_mse,47,9
10,0.9353783307527967,Yes,0.9407818788127545,0.9364492347346093,16.01938729286194,0.9476806267410935,if_binary,1,0.15,1.2,0.002,0.42500000000000004,296,0.8200000000000001,3400,0.01375,40,sqrt,5,log_loss,0.002,friedman_mse,3,10
