cv_rank_f1,cv_f1,is_overfit,train_f1,test_f1,mean_fit_time,mean_test_precision,param_transformer__ohe__drop,param_transformer__num__poly__degree,param_transformer__cat__rest_encoder__sigma,param_transformer__cat__rest_encoder__a,param_transformer__cat__combiner__rare_to_value,param_gbc__subsample,param_gbc__n_estimators,param_gbc__min_samples_split,param_gbc__min_samples_leaf,param_gbc__max_features,param_gbc__max_depth,param_gbc__loss,param_gbc__learning_rate,param_gbc__criterion,rank_test_precision,holdout_rank_f1
4,0.7305033192555587,No,0.7651515151515151,0.7699115044247788,14.432673072814941,0.7322772430864373,if_binary,1,0.17,1.1,0.001,0.85,3700,0.013750000000000002,48,sqrt,2,log_loss,0.004,friedman_mse,4,1
1,0.7310552397566117,No,0.7628398791540786,0.7671840354767184,12.785591793060302,0.732740840641768,if_binary,1,0.18,1.2,0.001,0.85,3400,0.0125,44,sqrt,2,log_loss,0.004,friedman_mse,3,2
6,0.7289494473968989,No,0.7637735849056603,0.7671840354767184,14.221066331863403,0.728668746616763,if_binary,1,0.18,1.2,0.001,0.79,3700,0.015000000000000001,45,sqrt,2,log_loss,0.0037,friedman_mse,20,3
7,0.7274493167320466,No,0.759090909090909,0.7671840354767184,12.246497249603271,0.7230070561344064,if_binary,1,0.17,1.1,0.001,0.79,3300,0.0125,45,sqrt,2,log_loss,0.0037,friedman_mse,48,4
22,0.7232029810204821,No,0.7603053435114504,0.7644444444444444,11.692784309387207,0.725846717122724,if_binary,1,0.18,1.2,0.001,0.55,3500,0.015000000000000001,45,sqrt,2,log_loss,0.004,friedman_mse,34,5
32,0.7222825915530289,No,0.7573696145124716,0.7644444444444444,11.347245216369629,0.7223408926068761,if_binary,1,0.16,1.2,0.001,0.73,3100,0.0125,44,sqrt,2,log_loss,0.0037,friedman_mse,52,6
59,0.7147889308235756,No,0.76103500761035,0.7637969094922736,13.574480009078979,0.7166315006134627,if_binary,1,0.16,1.2,0.001,0.67,3100,0.0125,45,sqrt,2,log_loss,0.004,friedman_mse,59,7
3,0.7308417111971668,No,0.763277693474962,0.7633928571428571,15.61105465888977,0.7295455861672026,if_binary,1,0.18,1.1,0.001,0.85,3500,0.015000000000000001,47,sqrt,2,log_loss,0.004,friedman_mse,15,8
9,0.7260603125844792,No,0.761544284632854,0.7627494456762749,11.265684890747071,0.7273156055082628,if_binary,1,0.18,1.2,0.001,0.67,3100,0.01625,45,sqrt,2,log_loss,0.004,friedman_mse,26,9
8,0.7269372116492764,No,0.7554882664647994,0.7616926503340757,12.105026197433471,0.7235900465449339,if_binary,1,0.17,1.1,0.001,0.79,3200,0.015000000000000001,45,sqrt,2,log_loss,0.0037,friedman_mse,45,10
