cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_krs__activation,param_krs__batch_size,param_krs__callbacks,param_krs__dropout_rate,param_krs__epochs,param_krs__hidden_layer_sizes,param_krs__l2_reg,param_krs__optimizer__learning_rate,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
2,0.9348489270053255,Yes,0.9518584803058496,0.9334025254889096,23.06680353482564,0.9471347152360791,relu,512,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a080>,0.3,64,"(64, 32, 16)",0.01,0.1,228,0.475,1.0037178528381825e-05,0.0025,1,1
7,0.9314647720864887,Yes,0.962412868442212,0.9331866274126519,18.61985158920288,0.941105065289006,relu,256,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a080>,0.4,256,"(64, 32)",0.001,0.1,147,0.45,4.13913136487289e-05,0.005,8,2
3,0.932612741670078,Yes,0.9565861184988431,0.9302763038899104,16.34976053237915,0.9436570591493906,relu,1024,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a890>,0.4,64,"(64, 32)",0.001,0.0001,198,0.42500000000000004,1.2105385030163095e-06,0.005,6,3
10,0.9303425454055896,Yes,0.9471845760611196,0.928676139886285,23.637135982513428,0.9444168441348139,relu,1024,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a080>,0.5,128,"(64, 32, 16)",0.01,0.1,297,0.42500000000000004,2.1052917703272952e-06,0.0065,5,4
4,0.9323083911890832,Yes,0.9698861262418065,0.9274433335415299,25.63910762468974,0.9414724560838571,relu,1024,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a080>,0.5,256,"(64, 32)",0.001,0.0001,242,0.42500000000000004,1.894008184580889e-06,0.0035,7,5
9,0.931004387235796,Yes,0.9678974249563714,0.9264206302542762,26.869696378707886,0.9406737946302187,tanh,512,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a890>,0.4,256,"(64, 32)",0.001,0.1,194,0.475,1.1308440215100865e-05,0.0035,9,6
8,0.931223320215062,Yes,0.9359528017352955,0.9255880678974804,24.40322995185852,0.9458806257656557,tanh,256,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a890>,0.4,128,"(64, 32, 16)",0.01,0.01,179,0.5,4.910514622919505e-06,0.0025,2,7
5,0.9322500608132006,Yes,0.9437186609052514,0.9250237851179482,22.707627375920612,0.9398708353664532,relu,512,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a080>,0.3,256,"(64, 32, 16)",0.001,0.0001,275,0.45,2.5412747738023127e-05,0.0035,10,8
1,0.937006783504878,Yes,0.9520380060764743,0.9249682247224703,27.683866659800213,0.9449868529344171,relu,128,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a890>,0.4,64,"(64, 32)",0.01,0.1,180,0.5,2.6694854887152312e-05,0,4,9
6,0.9318808440946612,Yes,0.937385985597207,0.9226943265445229,26.19958273569743,0.9456923005563739,tanh,1024,<keras.src.callbacks.EarlyStopping object at 0x7df90d42a890>,0.4,128,"(64, 32)",0.01,0.001,143,0.5,5.2974652704857425e-05,0.0025,3,10
