cv_rank_f1,cv_f1,is_overfit,train_f1,test_f1,mean_fit_time,mean_test_precision,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision,holdout_rank_f1
14,0.5942720115752882,No,0.63544536271809,0.6464088397790054,0.728696060180664,0.8005484146162651,0.9642062425390681,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0973521613660045e-06,9.806330495123533e-06,0.0075,1,if_binary,47,1
15,0.5867169580400494,No,0.6245353159851301,0.6368715083798884,0.6646053791046143,0.8090886353784652,0.6957442165857314,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.2105809400426087e-05,2.7314003680134705e-05,0.0075,1,if_binary,43,2
16,0.5831024115899035,No,0.6062917063870352,0.6257309941520468,0.7252549648284912,0.824597506498915,31.421554790716286,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,4.730923115353537e-06,2.6484785085683955e-05,0.0075,1,if_binary,39,3
12,0.5955982329279428,No,0.6199813258636788,0.6214689265536724,3.411899185180664,0.8143975907870734,0.22265121148208447,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.9350943339702786e-05,8.348658324166414e-06,0.0075,2,if_binary,42,4
18,0.575796041911387,No,0.5837414299706171,0.6081871345029239,0.658758020401001,0.8263229616170792,11.199657597613745,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.0482341882676216e-06,4.200664542411939e-06,0.0025,1,if_binary,38,5
17,0.5795690632472441,No,0.6007827788649707,0.6023391812865497,3.5099414825439452,0.84383082988495,1.3276130010034781,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.878758575071561e-06,1.049794307512719e-05,0.0025,2,if_binary,33,6
25,0.5156827675237101,No,0.5408805031446541,0.5679012345679013,3.463938665390015,0.8628648302668097,15.63924141867897,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,7.531041610812185e-05,9.022314023584807e-06,0.005,2,if_binary,29,7
27,0.4795553983053983,No,0.5037513397642015,0.549520766773163,0.6795278549194336,0.8551536079912754,29.09933663178898,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,7.4067238115093e-05,3.191489190922111e-05,0.0025,1,if_binary,31,8
28,0.47384378733572285,No,0.4994617868675996,0.5448717948717949,0.7719383239746094,0.8596708134125596,7.402707216933721,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,5.0699223067395695e-05,1.0014123953924235e-05,0.0025,1,if_binary,30,9
26,0.48825986222618695,No,0.5107296137339057,0.5401929260450161,3.4828795433044433,0.8629583232465707,1.4894909158447853,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,4.025773711378497e-06,2.5711266492479226e-06,0.0025,2,if_binary,28,10
