cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
50,0.9354142060672332,No,0.939094869652213,0.9467093097219949,17.48076524734497,0.9438615148608518,37.531210305906406,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,1.4732618059500194e-06,243,0.475,1.4500174972770088e-05,0.004,2,if_binary,25,1
27,0.9390264388038135,No,0.946126149396612,0.9462558364266079,14.111375379562379,0.9433632387527024,7.387641469840879,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.278628584511121e-05,168,0.475,1.235962471258738e-06,0,2,if_binary,41,2
30,0.93885526814575,No,0.9418222366065551,0.9461654053235352,18.8524386882782,0.9438688799060932,0.7912554566355611,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,7.148510793512982e-06,255,0.5,5.265761277157425e-05,0.004,2,if_binary,23,3
19,0.939322434485504,No,0.9406449725753294,0.9460283340565927,15.77584261894226,0.9440017725118647,1.7690836673021875,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.1437522183928352e-06,158,0.45,3.216357743681943e-06,0.002,2,if_binary,18,4
25,0.9390993042773799,No,0.9421470600582644,0.9459319517615682,15.314955139160157,0.9416667719406624,20.60250978044698,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,6.2130264703103945e-06,166,0.42500000000000004,1.964308262295563e-06,0.0035,2,if_binary,57,5
46,0.9369111039483652,No,0.9401337125768309,0.9454281780739708,17.793913221359254,0.9443945391923652,21.378188404930583,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,2.3771687933187083e-05,284,0.5,4.752931196946967e-05,0.004,2,if_binary,10,6
23,0.9391580733420619,No,0.9431316609194796,0.9453525731732736,20.1085054397583,0.9434544836348859,40.58758032560849,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.406336677771817e-06,180,0.475,5.3236175947514984e-05,0.003,2,if_binary,39,7
42,0.9380099240085636,No,0.9415468069637878,0.9453071612661734,14.431339740753174,0.9431784767439731,2.499713771552048,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,9.572167377160832e-05,175,0.42500000000000004,3.1625172163267616e-06,0.004,2,if_binary,45,8
24,0.939112300650593,No,0.9436899682682531,0.9451677681322482,19.15871982574463,0.9436742790729247,14.143951993630365,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.463668493421493e-06,280,0.475,1.5905817778820335e-06,0.002,2,if_binary,30,9
52,0.9352571296171963,No,0.939753623017562,0.9451082922983333,19.146386909484864,0.943192019521066,54.05307607240577,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,2.7017306829257253e-06,144,0.475,4.8311013670034396e-05,0.003,2,if_binary,43,10
11,0.9396478608196857,No,0.9428943450649492,0.9448546992434058,18.977338218688963,0.9444036008014086,2.2797728611327104,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.8830411164464727e-05,191,0.5,8.691079733347108e-05,0.002,2,if_binary,9,11
17,0.9394521069621614,No,0.9427601342732855,0.944541873700838,17.353202915191652,0.9440854666660169,1.6207814234287037,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.066454201865007e-05,172,0.475,1.0414253710293567e-05,0.004,2,if_binary,17,12
31,0.9387892361151801,No,0.9397841581752613,0.9443203563666203,14.62541742324829,0.9436694195247839,1.215994254083375,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.66351894426084e-06,192,0.4,1.6862781164902365e-06,0.0035,2,if_binary,32,13
32,0.9386038627021888,No,0.942484248108655,0.9439788628726355,18.520421504974365,0.9408475380961722,18.10443261347778,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,1.1298547638502784e-06,267,0.45,3.9985137091835345e-05,0.003,2,if_binary,62,14
37,0.9383329028371662,No,0.9422552495591543,0.9438559858299902,20.107762813568115,0.9431902084964141,17.244884200941808,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.6442290056449513e-05,286,0.475,1.951396765593445e-05,0.003,2,if_binary,44,15
