cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__early_stopping,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__solver,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
25,0.914895796828266,No,0.9246053621707357,0.925426141662115,1.8350072383880616,0.9404976218217188,logistic,1e-06,128,True,"(20, 10)",constant,0.001,adam,0.00022491989652673568,254,0.55,1.4379036661621068e-05,0.005,if_binary,6,1
32,0.9027755734317007,No,0.9199564042219458,0.9213552820777526,1.8719292163848877,0.9298891353014611,relu,1e-05,256,True,"(20, 10)",adaptive,0.0001,adam,4.759756642911544e-05,158,0.55,3.0767009526237355e-05,0.0025,if_binary,34,2
28,0.9119455600999326,No,0.9189849819271493,0.9196471011607019,1.2652000904083252,0.9386381984768228,logistic,1e-06,256,True,"(20, 10, 5)",constant,0.001,adam,1.4320687216112987e-05,186,0.4,4.195914391541157e-06,0.0075,if_binary,13,3
18,0.921142597569878,No,0.916424234647751,0.9194421420584105,1.8636939525604248,0.9394488943110956,tanh,0.0001,256,True,"(20, 10)",adaptive,0.001,adam,7.099891856934126e-05,208,0.6,2.117721540886052e-06,0.0025,if_binary,10,4
29,0.907919642585137,No,0.9130868657903431,0.916277319921211,1.6347681999206543,0.9328373838586655,tanh,0.0001,128,True,"(20, 10, 5)",constant,0.0001,adam,6.904156185800278e-05,187,0.55,5.406765938504059e-06,0.005,if_binary,31,5
33,0.8993163137392403,No,0.8897493516356496,0.8898141606041335,1.7491610050201416,0.9327632148408819,tanh,1e-06,256,True,"(20, 10, 5)",adaptive,0.0001,adam,0.00014782254646776281,268,0.45,6.767487390617127e-05,0.0025,,32,6
5,0.9287217413107249,Yes,0.9404469144881982,0.9330140582337774,1.6220430850982666,0.9395277110100022,logistic,1e-06,256,True,"(20, 10, 5)",adaptive,0.01,adam,0.00013688038748175534,176,0.5,1.5226341829186314e-05,0.005,if_binary,9,7
7,0.9263888456400551,Yes,0.9417557962245665,0.9318036030557086,1.9786271095275878,0.9364589947951478,relu,1e-05,128,True,"(20, 10)",constant,0.001,adam,4.254891877710624e-05,176,0.6,7.184032636581677e-06,0.01,if_binary,23,8
2,0.9307793656408494,Yes,0.9643446409446429,0.9309614986474648,2.501142978668213,0.937914843524587,relu,0.0001,512,True,"(20, 10, 5)",constant,0.01,adam,0.0001548413486885676,270,0.55,5.945287330479984e-05,0,,18,9
22,0.917719302849551,Yes,0.9383246230598499,0.9307573231571851,1.3537426471710206,0.9371737121214574,tanh,1e-05,128,True,"(20, 10, 5)",constant,0.001,adam,5.458847204522432e-05,162,0.45,1.7049050458377177e-05,0.01,,20,10
16,0.9214233343969832,Yes,0.9484997896119741,0.9300167367797192,1.593317174911499,0.9353683071251785,tanh,0.0001,512,True,"(20, 10)",invscaling,0.01,adam,7.671526419410689e-05,179,0.6,5.989003672254298e-06,0.0025,if_binary,25,11
8,0.9251590829101835,Yes,0.9527302963440609,0.9294014940435886,1.2765650272369384,0.9345328815179572,relu,1e-05,128,True,"(20, 10)",adaptive,0.01,adam,0.00010873416514163665,147,0.5,6.586289317583108e-05,0.0075,,29,12
3,0.930416768152656,Yes,0.9547879499357804,0.9286141957909053,1.5056851387023926,0.93581722245014,relu,1e-06,128,True,"(20, 10)",constant,0.01,adam,1.3963773090500088e-05,248,0.55,6.648257162269163e-06,0.005,if_binary,24,13
26,0.9144520335434848,Yes,0.930001970445715,0.9282230885299282,1.7430693626403808,0.9391965330897607,logistic,1e-06,128,True,"(20, 10)",adaptive,0.001,adam,0.000264999065398837,150,0.55,2.954147926678243e-05,0.0025,if_binary,11,14
11,0.9246453789511705,Yes,0.9380942861209755,0.9281869283786243,1.6345746040344238,0.9365454343573619,relu,1e-06,512,True,"(20, 10)",constant,0.01,adam,0.00010090423315981847,286,0.45,1.0572705046816881e-05,0.005,,22,15
4,0.9296263690086569,Yes,0.9528979299234314,0.9281375865890983,1.1027914047241212,0.9410956088788339,relu,1e-05,256,True,"(20, 10)",invscaling,0.01,adam,2.9744863792870817e-05,268,0.5,2.298322152815503e-05,0.01,,2,16
1,0.9327050281355032,Yes,0.962758345658088,0.9279475808211507,1.7035401344299317,0.9402563306985169,relu,0.0001,512,True,"(20, 10, 5)",constant,0.01,adam,0.00022003133892770188,262,0.6,7.121996518301615e-05,0.0025,if_binary,7,17
15,0.922196433698858,Yes,0.9481915942550933,0.927582147867469,1.194906234741211,0.9381666856070066,relu,1e-06,512,True,"(20, 10, 5)",invscaling,0.01,adam,5.1188072198450125e-05,190,0.45,4.734022773404191e-06,0.005,,17,18
39,0.7213348272723535,Yes,0.9334003390263274,0.9263993555397648,1.8072012901306151,0.7235916500430386,relu,0.0001,128,True,"(20, 10, 5)",adaptive,0.0001,adam,5.8261909741419794e-05,157,0.55,7.663082680255851e-05,0.0025,,39,19
6,0.9265865297645158,Yes,0.9628776875210928,0.9262788942640375,1.4812591075897217,0.9347175633771647,relu,0.0001,128,True,"(20, 10, 5)",invscaling,0.01,adam,0.0001961331382415545,281,0.5,1.110364731305462e-05,0.0025,,28,20
14,0.9236724950225786,Yes,0.9345315434590015,0.9258126928969544,1.8777422428131103,0.9410291218887774,logistic,1e-06,128,True,"(20, 10)",adaptive,0.01,adam,0.00015150213766808237,167,0.45,1.7729973899342284e-05,0,if_binary,3,21
10,0.9246946492557069,Yes,0.9590068951871421,0.9250164936736252,1.8535649299621582,0.9349332281272453,tanh,1e-05,512,True,"(20, 10)",adaptive,0.01,adam,4.246506887545408e-05,284,0.6,1.8391267498289006e-05,0.005,if_binary,27,22
13,0.9238732915461247,Yes,0.9329629450229638,0.9239492369560293,1.5702703952789308,0.9370644271273679,relu,0.0001,512,True,"(20, 10)",adaptive,0.001,adam,2.597353645372544e-05,177,0.6,9.407718327908903e-06,0.005,if_binary,21,23
19,0.9209527993265922,Yes,0.9289918600844286,0.9237503246208141,1.5786293983459472,0.9408169888974669,tanh,1e-05,256,True,"(20, 10)",invscaling,0.001,adam,1.1303172216615156e-05,285,0.45,7.934293594590592e-06,0.0025,,4,24
36,0.8925252740215139,Yes,0.9317089723065889,0.9219515689062189,1.4077027797698975,0.8855801977180457,relu,1e-06,512,True,"(20, 10, 5)",adaptive,0.001,adam,1.2002827428180859e-05,154,0.5,5.820013372709849e-06,0.0075,,36,25
23,0.9172983059674944,Yes,0.9286373358400674,0.9193572980125452,1.3970300197601317,0.9385575258801673,logistic,1e-06,512,True,"(20, 10, 5)",constant,0.01,adam,2.858450847976074e-05,206,0.45,1.298980180933063e-05,0.0025,if_binary,15,26
21,0.9194752258050027,Yes,0.9516264056856948,0.9187414850178907,1.9871965885162353,0.9375222444736618,relu,1e-06,256,True,"(20, 10, 5)",invscaling,0.001,adam,0.00015240530115378186,270,0.4,1.977761233328609e-06,0,if_binary,19,27
20,0.9199257397260958,Yes,0.922427031073799,0.9184020064296579,1.2568880081176759,0.9437447602702609,logistic,1e-05,512,True,"(20, 10, 5)",invscaling,0.01,adam,5.166483937293244e-05,189,0.4,1.6711961317569e-05,0.0075,,1,28
12,0.9241240803218449,Yes,0.9200386300981497,0.9180277486671664,1.5383722305297851,0.9399824356756123,logistic,1e-06,256,True,"(20, 10)",invscaling,0.01,adam,4.290394759826184e-05,238,0.4,1.0235832435175112e-06,0.0025,,8,29
17,0.9211938324259087,Yes,0.9208701174801447,0.9178201920615654,1.5916291713714599,0.9389154670589306,tanh,0.0001,256,True,"(20, 10, 5)",invscaling,0.001,adam,0.0002896020542253384,188,0.55,1.1958300672269887e-06,0.005,,12,30
24,0.9154513783253503,Yes,0.9179325060358345,0.9175693738422052,1.864935541152954,0.938566177447432,logistic,1e-05,128,True,"(20, 10)",invscaling,0.001,adam,1.0030511953353267e-05,160,0.4,4.059611610484304e-06,0.01,,14,31
27,0.9123197453224281,Yes,0.9225165615261552,0.9173635967949891,2.508679246902466,0.9383680842942521,tanh,1e-05,512,True,"(20, 10)",adaptive,0.001,adam,2.7028155941428444e-05,269,0.45,3.0306601291651846e-05,0,if_binary,16,32
9,0.9248426974140825,Yes,0.9411281870430744,0.9163085622110844,2.266761589050293,0.9407815671187072,tanh,1e-05,256,True,"(20, 10, 5)",invscaling,0.01,adam,0.0003329908037586662,268,0.4,1.9741504223018505e-05,0,,5,33
30,0.907789204892042,Yes,0.9206521383841385,0.915744705744104,2.067406988143921,0.9352095884071361,tanh,1e-05,128,True,"(20, 10)",constant,0.0001,adam,0.00012145141907251725,208,0.6,6.905579427485702e-06,0.0075,,26,34
34,0.8966982727236366,Yes,0.9179641362750055,0.9138803118133658,2.472089910507202,0.9307084247637836,relu,1e-05,128,True,"(20, 10)",constant,0.0001,adam,3.1868366219253863e-05,184,0.4,1.0746642789365077e-06,0,,33,35
35,0.8955031175446649,Yes,0.9085343544069312,0.9055165815102392,2.546261215209961,0.9297069818022935,tanh,1e-06,256,True,"(20, 10, 5)",adaptive,0.0001,adam,2.1464065246048693e-05,200,0.5,1.393183744173663e-05,0,,35,36
37,0.8670184065618933,Yes,0.9055125764579646,0.9012527625269655,1.2179271697998046,0.8533653480103064,relu,0.0001,512,True,"(20, 10)",adaptive,0.0001,adam,3.420435321164826e-05,235,0.55,6.533305220227734e-05,0.01,if_binary,37,37
31,0.9066678156482503,Yes,0.8464895104520228,0.8460618904674422,1.1807214260101317,0.9337830373254252,logistic,1e-05,256,True,"(20, 10, 5)",adaptive,0.001,adam,0.0004663098126815944,199,0.4,3.0458224385894053e-06,0.0075,if_binary,30,38
38,0.8464896669741595,Yes,0.8464895104520228,0.8460618904674422,1.4320271492004395,0.8023659578883834,logistic,1e-06,512,True,"(20, 10, 5)",constant,0.0001,adam,1.841072920573868e-05,214,0.5,5.399484409787432e-05,0.0075,,38,39
40,0.5155481109609891,Yes,0.8464895104520228,0.8460618904674422,1.9909180641174316,0.4855234539790791,logistic,1e-05,512,True,"(20, 10)",constant,0.0001,adam,0.00023889747726585372,240,0.55,5.918413104745487e-06,0,,40,40
