cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__max_iter,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
19,0.9181332404965117,No,0.9190246586575566,0.9210100362255654,1.9219384670257569,0.9376217345600288,relu,0.001,128,"(20, 15, 10)",invscaling,0.0001,100,9.244829563000254e-05,238,0.55,5.546719086332954e-06,0.01,,12,1
27,0.9120695951426866,No,0.918735478979231,0.9206053751526936,1.3981001853942872,0.9387310604957382,logistic,0.01,128,"(20, 15, 10)",invscaling,0.001,200,2.0366442026830907e-05,160,0.4,4.059611610484304e-06,0.01,,8,2
34,0.5433288556672189,No,0.9134082011859808,0.9159254383969082,1.6727041244506835,0.5599172053760073,logistic,0.001,1024,"(15, 10, 5)",constant,0.001,200,0.00032515645455920956,282,0.55,1.4379036661621068e-05,0.005,if_binary,34,3
28,0.9015022044773942,No,0.9086568594539384,0.9140679834703548,2.2604159832000734,0.9302384116948839,relu,0.001,512,"(20, 15, 10)",invscaling,0.0001,200,8.289395383720041e-05,194,0.55,1.8428536387181333e-06,0.0025,,27,4
30,0.8857784779921996,No,0.9108145721126782,0.912009498570969,2.342460298538208,0.9274617744447813,tanh,0.001,256,"(15, 10, 5)",adaptive,0.0001,100,2.4608087716416337e-05,187,0.5,1.393183744173663e-05,0,,29,5
29,0.9002380684868528,No,0.8930678534864811,0.8972226087349754,1.8387234210968018,0.9259615208161772,relu,0.1,512,"(20, 15, 10)",adaptive,0.0001,100,7.312171172786402e-05,290,0.6,1.2013849374287172e-05,0.01,,30,6
33,0.7060583561765041,No,0.8660349867460442,0.8752314813220962,1.068556022644043,0.7144541480564304,logistic,0.01,1024,"(15, 10, 5)",constant,0.001,300,5.166483937293244e-05,189,0.4,1.6711961317569e-05,0.0075,,33,7
35,0.5240254586158603,No,0.8735465467865741,0.8751401175666146,2.4820828437805176,0.5103914229470496,relu,0.01,512,"(15, 10, 5)",invscaling,0.0001,100,1.7355056469855073e-05,154,0.6,1.409617514981586e-06,0,,35,8
31,0.8596461141038416,No,0.8383093453079692,0.8409668675815226,2.001661205291748,0.918565283101843,relu,0.001,1024,"(15, 10, 5)",invscaling,0.0001,300,0.00010090423315981847,286,0.45,1.0572705046816881e-05,0.005,,31,9
37,0.5155773993583208,No,0.019684539599799742,0.019791266196888258,1.1391518115997314,0.48555595006977514,logistic,0.001,1024,"(15, 10, 5)",constant,0.0001,300,2.858450847976074e-05,206,0.45,1.298980180933063e-05,0.0025,if_binary,37,10
38,0.1851408334825641,No,0.019684539599799742,0.019791266196888258,1.125736665725708,0.16927345397907914,logistic,0.01,128,"(15, 10, 5)",constant,0.0001,200,1.8758929697854745e-05,221,0.45,2.4198608614538674e-05,0.01,if_binary,38,11
39,0.18488833841385724,No,0.019684539599799742,0.019791266196888258,1.1239718437194823,0.16899345006977498,logistic,0.001,512,"(15, 10, 5)",constant,0.0001,300,5.720796166976957e-05,214,0.5,5.399484409787432e-05,0.0075,,39,12
4,0.9246273238344098,Yes,0.9523182121378738,0.9353533293889509,1.43202862739563,0.9377775179003007,relu,0.1,128,"(15, 10, 5)",invscaling,0.01,100,0.00016834367653595882,281,0.5,1.110364731305462e-05,0.0025,,11,13
9,0.9215067097648593,Yes,0.9545323114082296,0.9336780649656514,2.10261607170105,0.9278396971764596,relu,0.01,128,"(20, 15, 10)",constant,0.001,300,0.00018635959953564908,176,0.6,7.184032636581677e-06,0.01,if_binary,28,14
10,0.9214165639072677,Yes,0.9544921222293571,0.9318264007698567,2.5142014503479,0.9375215883128238,relu,0.001,256,"(15, 10, 5)",invscaling,0.001,300,6.995363653959081e-05,252,0.6,3.712624179040531e-06,0,if_binary,13,15
11,0.9205524292010466,Yes,0.960314188057631,0.9299902921957633,1.0910809516906739,0.9350539746246593,relu,0.01,256,"(20, 15, 10)",invscaling,0.01,100,3.857142640537947e-05,268,0.5,2.298322152815503e-05,0.01,,19,16
7,0.9223857809819176,Yes,0.9470052627237562,0.9290133482860373,1.400632381439209,0.9360453845173385,relu,0.1,512,"(15, 10, 5)",constant,0.01,200,0.00040938136085987817,199,0.45,5.899741796710488e-06,0.0025,if_binary,17,17
8,0.921781722061002,Yes,0.9400371485500549,0.9276760523191866,1.4742176055908203,0.9338237530255424,tanh,0.01,1024,"(15, 10, 5)",adaptive,0.01,300,2.5788285605745157e-05,177,0.6,1.8391267498289006e-05,0.005,if_binary,23,18
21,0.9174317828976358,Yes,0.9409403368441279,0.9273856305336441,1.14130597114563,0.9318138054539699,relu,0.001,512,"(15, 10, 5)",invscaling,0.01,100,6.663640798842096e-05,190,0.45,4.734022773404191e-06,0.005,,26,19
23,0.9159830810534574,Yes,0.9326268952484076,0.9272773075221419,1.9866451263427733,0.9336789120680088,relu,0.01,1024,"(15, 10, 5)",invscaling,0.001,300,7.158357952517092e-05,140,0.6,2.3330687617439752e-05,0.0025,if_binary,24,20
20,0.9179590911104667,Yes,0.9440089895981126,0.9269849239300575,1.4369890689849854,0.9330572940739105,tanh,0.1,1024,"(15, 10, 5)",constant,0.01,300,0.00035067764992972183,189,0.55,4.201672054372529e-06,0.0025,,25,21
1,0.9294405120677078,Yes,0.9343515754796871,0.9259848861732686,2.254156398773193,0.9371975097167835,relu,0.1,512,"(20, 15, 10)",invscaling,0.01,100,1.600133185397499e-05,168,0.55,1.235962471258738e-06,0,,14,22
