cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__max_iter,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
69,0.909443328486824,No,0.9222266717579873,0.922573989679663,1.871420955657959,0.9324346023510239,relu,0.05,512,"(64, 40, 30, 20)",invscaling,0.0001,3000,0.0005491887821601531,274,0.4,1.8021412597928716e-05,0.0075,70,1
79,0.8978746013697154,No,0.9212650041701331,0.9222822326120619,1.3092944145202636,0.9284098432691815,relu,0.05,1024,"(20, 15, 10)",adaptive,0.001,3000,0.00026157405212333016,291,0.4,1.4469965355704107e-06,0.005,80,2
54,0.9189313444633381,No,0.9198739227533738,0.9215280219090445,2.2721903800964354,0.9382170718378742,relu,0.05,256,"(64, 40, 30, 20)",constant,0.0001,3000,4.852085180693701e-06,252,0.45,5.2038579856470466e-06,0.0025,14,3
74,0.9073260643640662,No,0.9134747433765238,0.9185584046955646,2.0830733299255373,0.9305033105558591,relu,0.15,256,"(20, 15, 10)",invscaling,0.0001,3000,0.0005553837526912236,238,0.55,1.0737748632897966e-06,0.01,75,4
59,0.9152823734018375,No,0.918122318365174,0.9182773803524783,1.2151563167572021,0.9358807524248686,relu,0.01,1024,"(20, 15, 10)",invscaling,0.001,3000,0.00026347470756444175,239,0.4,8.498604636076726e-06,0.01,47,5
67,0.9104174164552561,No,0.9149623068337739,0.9167620011989291,1.3210402488708497,0.9333562567221394,relu,0.01,1250,"(20, 15, 10)",invscaling,0.001,3000,2.2722376351800994e-06,200,0.4,3.079096598008263e-05,0.005,67,6
78,0.9003401317202385,No,0.9152109409411293,0.9154599428374325,3.020860290527344,0.9292564414698952,relu,0.05,1250,"(64, 40, 30, 20)",adaptive,0.0001,2000,0.00018477934173519254,175,0.6,1.4254757044027435e-06,0.005,78,7
90,0.8826990825042053,No,0.9027951381629034,0.9081241415949425,1.7801105499267578,0.9216783240466526,relu,0.15,700,"(20, 15, 10)",constant,0.0001,3000,0.0008228984573308164,191,0.55,3.1883397351001865e-06,0.0025,87,8
88,0.8863452729800656,No,0.9005122544536666,0.9012328951766962,2.3236666679382325,0.9152521050931794,relu,0.15,1250,"(20, 15, 10)",adaptive,0.0001,3000,1.1756010900231846e-05,263,0.6,1.9135880487692296e-06,0.01,92,9
89,0.8861330323044143,No,0.8908730987512026,0.8949330263349772,1.7314974308013915,0.9239173696971033,relu,0.1,1024,"(20, 15, 10)",invscaling,0.0001,3000,7.947147424653741e-05,273,0.55,4.048966222584673e-05,0.0075,86,10
95,0.878675352101434,No,0.884756595091092,0.8873034127649756,1.7055553913116455,0.9133721454659532,relu,0.15,1250,"(20, 15, 10)",constant,0.0001,3000,1.6927824148697274e-06,273,0.45,6.812054524930614e-06,0.01,94,11
93,0.8802329301090586,No,0.8749926182823115,0.8753102852771855,1.531932497024536,0.9149929906035336,relu,0.01,1024,"(20, 15, 10)",invscaling,0.0001,3000,1.1727009450102243e-06,198,0.45,1.2397420340784138e-06,0.0075,93,12
76,0.9030810877373122,No,0.8588708743528705,0.8694665428428853,1.749015474319458,0.9298696342328683,relu,0.05,700,"(64, 40, 30, 20)",invscaling,0.0001,2000,2.229553620391009e-06,208,0.4,4.195914391541157e-06,0.0075,77,13
100,0.6937473277436834,No,0.8640761478860098,0.8647663789745601,2.514802408218384,0.8653695872996936,relu,0.15,1250,"(20, 15, 10)",invscaling,0.0001,3000,9.688461791333591e-06,182,0.5,1.4181646517035515e-06,0,98,14
85,0.8919171391868167,No,0.8330928880384452,0.8337951756742256,1.4708569526672364,0.9206239098003289,relu,0.01,700,"(20, 15, 10)",adaptive,0.0001,2000,1.459771621213803e-06,276,0.45,4.033730669603169e-05,0.01,90,15
5,0.9306814906764703,Yes,0.9536253055099161,0.9400358494167864,1.6734203338623046,0.9365032837713713,relu,0.1,1024,"(64, 40, 30, 20)",adaptive,0.01,3000,1.4899847475658242e-05,189,0.55,4.201672054372529e-06,0.0025,39,16
2,0.9314753078303033,Yes,0.9718141557339371,0.9365311327291741,1.8304487228393556,0.9339825447951794,relu,0.15,1250,"(64, 40, 30, 20)",adaptive,0.01,3000,3.4059785435329955e-05,276,0.6,2.425895370948679e-05,0.0025,65,17
9,0.9298729850182523,Yes,0.9574375950243169,0.9358399038366544,1.818456506729126,0.9356052531485535,relu,0.15,256,"(64, 40, 30, 20)",adaptive,0.001,3000,3.915648958243001e-05,299,0.55,1.4511311095238427e-06,0.005,50,18
21,0.9262540356603626,Yes,0.9408101601112185,0.9325416804365807,1.9748013019561768,0.9356160221897099,relu,0.15,1250,"(64, 40, 30, 20)",invscaling,0.001,3000,0.0006584106160121612,153,0.55,1.2315571723666019e-06,0.01,48,19
1,0.9317219585778258,Yes,0.9527584887904754,0.9325194410653729,1.7464838027954102,0.9367402208554976,relu,0.01,256,"(64, 40, 30, 20)",adaptive,0.01,2000,4.9732247399931615e-06,192,0.5,1.2181439742076736e-05,0.005,35,20
17,0.9274820723550888,Yes,0.9547171055845225,0.932395261017376,1.0773770809173584,0.9364826152568175,relu,0.15,1250,"(20, 15, 10)",constant,0.01,3000,0.00033579113392092415,255,0.5,1.8830411164464727e-05,0.0075,41,21
29,0.92508623085827,Yes,0.9535121603633967,0.9322253179305765,1.7587846279144288,0.931064045019748,relu,0.01,256,"(20, 15, 10)",adaptive,0.01,3000,6.246073681318086e-06,297,0.6,9.407718327908903e-06,0.005,73,22
22,0.926091009691671,Yes,0.9438363222721244,0.9316430701701178,1.5876946449279785,0.937306655788223,relu,0.15,1250,"(64, 40, 30, 20)",adaptive,0.001,2000,0.0003995736130526245,299,0.5,3.9985137091835345e-05,0.0075,25,23
41,0.9225626669191176,Yes,0.9565696668718947,0.9315747444076026,1.5121633052825927,0.9348971522505742,relu,0.01,512,"(64, 40, 30, 20)",invscaling,0.01,2000,0.00012243980190472083,268,0.45,6.767487390617127e-05,0.0025,58,24
15,0.9277315903753488,Yes,0.9622722272521439,0.931505724978131,1.6226812839508056,0.9374258657982969,relu,0.05,700,"(64, 40, 30, 20)",constant,0.01,2000,1.4304431767371336e-06,149,0.6,1.3389055473926744e-06,0.0075,23,25
