cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__solver,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
49,0.9215527506456322,No,0.9284878784212774,0.9316673862233538,7.250825119018555,0.9412773422133494,relu,1e-05,256,"(64, 32)",adaptive,0.0001,adam,1.2792946789275629e-05,286,0.55,5.126375103798807e-06,0.0025,if_binary,15,1
51,0.9213731644888277,No,0.9307881890107209,0.931283446536997,5.803479099273682,0.940634759911663,tanh,0.0001,1024,"(64, 32)",invscaling,0.001,adam,7.53265793277993e-05,225,0.5,8.534852819566888e-06,0.005,,22,2
58,0.9190712918963737,No,0.9261843141891082,0.9294599577804936,6.534830808639526,0.9399000953055534,relu,0.0001,256,"(64, 32)",invscaling,0.0001,adam,0.00022049633175740758,171,0.45,5.2038579856470466e-06,0.005,,30,3
48,0.9216909832934881,No,0.925504105092829,0.9290367872143803,6.482356882095337,0.9409650354076314,tanh,1e-05,512,"(72, 36)",invscaling,0.001,adam,0.00012871560936996131,191,0.4,1.0665444947393734e-05,0.005,,18,4
64,0.9167039955982131,No,0.9237227132461239,0.9289044443439204,6.329795837402344,0.9379137953935732,logistic,1e-06,1024,"(64, 32)",adaptive,0.001,adam,0.0004986865424754636,144,0.45,2.964625497665005e-06,0.0025,if_binary,49,5
68,0.9129378123491,No,0.9216691568601951,0.9253944086095942,9.708456420898438,0.9390068933786668,tanh,1e-05,512,"(72, 36)",constant,0.0001,adam,4.851250813300729e-05,164,0.55,5.131077881054324e-06,0,if_binary,40,6
86,0.8915738793391468,No,0.9203543899804476,0.9252249055873023,6.225413608551025,0.9212933149517248,logistic,1e-06,2046,"(64, 32)",invscaling,0.001,adam,4.8422645674280926e-05,273,0.45,7.844525502343435e-05,0.0025,if_binary,90,7
79,0.9028187148500255,No,0.9207980882468163,0.9250523125512364,7.797284412384033,0.93157585497709,logistic,0.0001,256,"(64, 32)",adaptive,0.0001,adam,2.868113482103007e-05,299,0.5,2.4522789265482963e-05,0.0025,,80,8
62,0.9171486847916892,No,0.9212331505971303,0.9246976065349038,7.232539558410645,0.9385510215062929,tanh,1e-05,512,"(72, 36)",adaptive,0.0001,adam,9.819172928431527e-05,197,0.6,4.973626964660356e-06,0.005,if_binary,45,9
80,0.9027830171530521,No,0.9213751184065304,0.9242931121429434,7.602650308609009,0.9320964229516807,tanh,0.0001,512,"(64, 32)",constant,0.0001,adam,0.00039169096265951106,277,0.4,9.643453399452923e-06,0,,77,10
32,0.9256436278030907,No,0.922391805751533,0.9241169830203134,7.399335193634033,0.9429119196660792,relu,1e-05,256,"(64, 32)",constant,0.0001,adam,0.0003606981194766989,172,0.55,1.3796831799668564e-05,0.0025,if_binary,3,11
67,0.9130983433979918,No,0.919081292250266,0.9240871042855899,8.077619123458863,0.9375677885342842,tanh,1e-06,512,"(64, 32)",adaptive,0.0001,adam,2.457457272781315e-05,200,0.5,1.393183744173663e-05,0,,53,12
61,0.9174246894828425,No,0.9228262886754345,0.9228902752127871,5.563963317871094,0.9381347470789599,relu,1e-05,256,"(72, 36)",invscaling,0.0001,adam,0.0006321732490144022,148,0.4,4.993662066506421e-06,0.005,,47,13
42,0.9233324690319341,No,0.9221154418335643,0.9227447247634225,8.94335217475891,0.9418092233747826,tanh,0.0001,256,"(72, 36)",constant,0.0001,adam,3.0138649046798005e-05,269,0.6,9.525889086580768e-06,0.0025,,8,14
