cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_MLP__activation,param_MLP__alpha,param_MLP__batch_size,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__learning_rate_init,param_MLP__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
32,0.9251005449087388,No,0.9257264720269329,0.9289044443439204,5.51415228843689,0.9419594758149274,relu,1e-06,2046,"(64, 32, 16)",invscaling,0.001,5.165384021620202e-06,228,0.4,1.1208547084229366e-05,0.005,6,1
63,0.9178393774965988,No,0.9252485542222822,0.9279234117075742,6.786619520187378,0.9390988948723518,tanh,1e-06,256,"(64, 32, 16)",constant,0.0001,6.931892807953976e-06,283,0.55,5.9324528867133873e-05,0.005,40,2
73,0.912878743931287,No,0.9230629441046755,0.9259403379544602,7.598923873901367,0.9364813586468237,logistic,1e-06,1024,"(64, 32, 16)",constant,0.001,2.605562297894132e-05,180,0.55,5.3236175947514984e-05,0.0025,68,3
75,0.9117738195845257,No,0.9227119124008998,0.9256897857721608,8.42745213508606,0.9366591572200159,tanh,1e-06,1024,"(64, 32, 16)",constant,0.0001,2.190433809862893e-05,209,0.6,5.2085592593797004e-05,0.005,66,4
84,0.8921205553915111,No,0.9223092238120125,0.9253100395394557,6.099023818969727,0.9310061183862125,logistic,1e-06,1024,"(64, 32, 16)",invscaling,0.001,8.864986949671143e-05,201,0.4,1.6255057858173058e-06,0.0025,78,5
45,0.9222125367197249,No,0.9242407621360231,0.9252249055873023,7.0532561302185055,0.9406171682645936,relu,1e-05,256,"(64, 32, 16)",constant,0.0001,5.176529944511196e-06,160,0.55,5.0307766403921986e-05,0.0025,23,6
35,0.9245475406194934,No,0.9200168865975809,0.9250987508857609,6.6692516803741455,0.9417824056881081,logistic,1e-05,1024,"(64, 32, 16)",adaptive,0.01,2.4905885026177506e-05,191,0.4,2.4092145436664762e-05,0.005,9,7
6,0.9304601935345564,No,0.924113332193063,0.9242571638170615,9.349497509002685,0.9391627242226097,logistic,1e-05,1024,"(64, 32, 16)",adaptive,0.01,1.525070361122438e-05,177,0.6,1.8391267498289006e-05,0.0025,38,8
62,0.9181302768671792,No,0.9204288803206124,0.9242571638170615,7.1230419158935545,0.9386772469238164,tanh,1e-05,1024,"(64, 32, 16)",adaptive,0.0001,0.00015177886572028036,289,0.55,4.82678054428317e-05,0.005,45,9
71,0.9142142983094548,No,0.9200073968870094,0.9237376348258335,7.526190710067749,0.9344663090453427,tanh,1e-05,1024,"(64, 32, 16)",adaptive,0.0001,7.234982677852055e-06,170,0.6,9.220558632540495e-05,0.005,74,10
